0 с,   73.00 м
3587 с,   253822.36 м
3588 с,   253812.21 м
3589 с,   253802.03 м
3590 с,   253791.81 м
3591 с,   253781.55 м
3592 с,   253771.26 м
3593 с,   253760.92 м
3594 с,   253750.56 м
3595 с,   253740.15 м
3596 с,   253729.71 м
3597 с,   253719.23 м
3598 с,   253708.71 м
3599 с,   253698.16 м
3600 с,   253687.57 м
3601 с,   253676.94 м
3602 с,   253666.28 м
3603 с,   253655.58 м
3604 с,   253644.84 м
3605 с,   253634.07 м
3606 с,   253623.27 м
3607 с,   253612.42 м
3608 с,   253601.55 м
3609 с,   253590.63 м
3610 с,   253579.68 м
3611 с,   253568.70 м
3612 с,   253557.68 м
3613 с,   253546.62 м
3614 с,   253535.53 м
3615 с,   253524.41 м
3616 с,   253513.25 м
3617 с,   253502.06 м
3618 с,   253490.83 м
3619 с,   253479.56 м
3620 с,   253468.27 м
3621 с,   253456.93 м
3622 с,   253445.57 м
3623 с,   253434.17 м
3624 с,   253422.74 м
3625 с,   253411.27 м
3626 с,   253399.77 м
3627 с,   253388.23 м
3628 с,   253376.66 м
3629 с,   253365.06 м
3630 с,   253353.43 м
3631 с,   253341.76 м
3632 с,   253330.06 м
3633 с,   253318.33 м
3634 с,   253306.56 м
3635 с,   253294.76 м
3636 с,   253282.93 м
3637 с,   253271.06 м
3638 с,   253259.17 м
3639 с,   253247.24 м
3640 с,   253235.28 м
3641 с,   253223.29 м
3642 с,   253211.26 м
3643 с,   253199.21 м
3644 с,   253187.12 м
3645 с,   253175.00 м
3646 с,   253162.85 м
3647 с,   253150.67 м
3648 с,   253138.46 м
3649 с,   253126.21 м
3650 с,   253113.94 м
3651 с,   253101.63 м
3652 с,   253089.30 м
3653 с,   253076.93 м
3654 с,   253064.54 м
3655 с,   253052.11 м
3656 с,   253039.65 м
3657 с,   253027.16 м
3658 с,   253014.65 м
3659 с,   253002.10 м
3660 с,   252989.52 м
3661 с,   252976.92 м
3662 с,   252964.28 м
3663 с,   252951.62 м
3664 с,   252938.93 м
3665 с,   252926.20 м
3666 с,   252913.45 м
3667 с,   252900.67 м
3668 с,   252887.86 м
3669 с,   252875.03 м
3670 с,   252862.16 м
3671 с,   252849.27 м
3672 с,   252836.34 м
3673 с,   252823.39 м
3674 с,   252810.42 м
3675 с,   252797.41 м
3676 с,   252784.38 м
3677 с,   252771.32 м
3678 с,   252758.23 м
3679 с,   252745.11 м
3680 с,   252731.97 м
3681 с,   252718.80 м
3682 с,   252705.61 м
3683 с,   252692.38 м
3684 с,   252679.13 м
3685 с,   252665.86 м
3686 с,   252652.56 м
3687 с,   252639.23 м
3688 с,   252625.87 м
3689 с,   252612.49 м
3690 с,   252599.09 м
3691 с,   252585.65 м
3692 с,   252572.20 м
3693 с,   252558.72 м
3694 с,   252545.21 м
3695 с,   252531.67 м
3696 с,   252518.12 м
3697 с,   252504.53 м
3698 с,   252490.93 м
3699 с,   252477.29 м
3700 с,   252463.64 м
3701 с,   252449.96 м
3702 с,   252436.25 м
3703 с,   252422.52 м
3704 с,   252408.77 м
3705 с,   252394.99 м
3706 с,   252381.19 м
3707 с,   252367.37 м
3708 с,   252353.52 м
3709 с,   252339.65 м
3710 с,   252325.76 м
3711 с,   252311.84 м
3712 с,   252297.90 м
3713 с,   252283.94 м
3714 с,   252269.95 м
3715 с,   252255.95 м
3716 с,   252241.92 м
3717 с,   252227.86 м
3718 с,   252213.79 м
3719 с,   252199.70 м
3720 с,   252185.58 м
3721 с,   252171.44 м
3722 с,   252157.28 м
3723 с,   252143.10 м
3724 с,   252128.90 м
3725 с,   252114.67 м
3726 с,   252100.43 м
3727 с,   252086.16 м
3728 с,   252071.88 м
3729 с,   252057.57 м
3730 с,   252043.25 м
3731 с,   252028.90 м
3732 с,   252014.53 м
3733 с,   252000.15 м
3734 с,   251985.74 м
3735 с,   251971.31 м
3736 с,   251956.87 м
3737 с,   251942.40 м
3738 с,   251927.92 м
3739 с,   251913.42 м
3740 с,   251898.90 м
3741 с,   251884.36 м
3742 с,   251869.80 м
3743 с,   251855.22 м
3744 с,   251840.62 м
3745 с,   251826.01 м
3746 с,   251811.38 м
3747 с,   251796.73 м
3748 с,   251782.06 м
3749 с,   251767.37 м
3750 с,   251752.67 м
3751 с,   251737.95 м
3752 с,   251723.21 м
3753 с,   251708.46 м
3754 с,   251693.69 м
3755 с,   251678.90 м
3756 с,   251664.10 м
3757 с,   251649.28 м
3758 с,   251634.44 м
3759 с,   251619.59 м
3760 с,   251604.72 м
3761 с,   251589.83 м
3762 с,   251574.93 м
3763 с,   251560.02 м
3764 с,   251545.08 м
3765 с,   251530.14 м
3766 с,   251515.18 м
3767 с,   251500.20 м
3768 с,   251485.21 м
3769 с,   251470.20 м
3770 с,   251455.18 м
3771 с,   251440.15 м
3772 с,   251425.10 м
3773 с,   251410.03 м
3774 с,   251394.96 м
3775 с,   251379.86 м
3776 с,   251364.76 м
3777 с,   251349.64 м
3778 с,   251334.51 м
3779 с,   251319.37 м
3780 с,   251304.21 м
3781 с,   251289.04 м
3782 с,   251273.85 м
3783 с,   251258.66 м
3784 с,   251243.45 м
3785 с,   251228.23 м
3786 с,   251213.00 м
3787 с,   251197.75 м
3788 с,   251182.49 м
3789 с,   251167.23 м
3790 с,   251151.95 м
3791 с,   251136.66 м
3792 с,   251121.35 м
3793 с,   251106.04 м
3794 с,   251090.72 м
3795 с,   251075.38 м
3796 с,   251060.04 м
3797 с,   251044.68 м
3798 с,   251029.31 м
3799 с,   251013.94 м
3800 с,   250998.55 м
3801 с,   250983.15 м
3802 с,   250967.75 м
3803 с,   250952.33 м
3804 с,   250936.91 м
3805 с,   250921.47 м
3806 с,   250906.03 м
3807 с,   250890.58 м
3808 с,   250875.12 м
3809 с,   250859.65 м
3810 с,   250844.17 м
3811 с,   250828.68 м
3812 с,   250813.19 м
3813 с,   250797.68 м
3814 с,   250782.17 м
3815 с,   250766.65 м
3816 с,   250751.13 м
3817 с,   250735.59 м
3818 с,   250720.05 м
3819 с,   250704.51 м
3820 с,   250688.95 м
3821 с,   250673.39 м
3822 с,   250657.82 м
3823 с,   250642.25 м
3824 с,   250626.67 м
3825 с,   250611.08 м
3826 с,   250595.49 м
3827 с,   250579.89 м
3828 с,   250564.28 м
3829 с,   250548.67 м
3830 с,   250533.06 м
3831 с,   250517.43 м
3832 с,   250501.81 м
3833 с,   250486.18 м
3834 с,   250470.54 м
3835 с,   250454.90 м
3836 с,   250439.26 м
3837 с,   250423.61 м
3838 с,   250407.95 м
3839 с,   250392.30 м
3840 с,   250376.63 м
3841 с,   250360.97 м
3842 с,   250345.30 м
3843 с,   250329.63 м
3844 с,   250313.95 м
3845 с,   250298.27 м
3846 с,   250282.59 м
3847 с,   250266.91 м
3848 с,   250251.22 м
3849 с,   250235.53 м
3850 с,   250219.84 м
3851 с,   250204.15 м
3852 с,   250188.45 м
3853 с,   250172.75 м
3854 с,   250157.05 м
3855 с,   250141.35 м
3856 с,   250125.65 м
3857 с,   250109.95 м
3858 с,   250094.24 м
3859 с,   250078.54 м
3860 с,   250062.83 м
3861 с,   250047.12 м
3862 с,   250031.42 м
3863 с,   250015.71 м
3864 с,   250000.00 м
3865 с,   249984.29 м
3866 с,   249968.58 м
3867 с,   249952.88 м
3868 с,   249937.17 м
3869 с,   249921.46 м
3870 с,   249905.76 м
3871 с,   249890.05 м
3872 с,   249874.35 м
3873 с,   249858.65 м
3874 с,   249842.95 м
3875 с,   249827.25 м
3876 с,   249811.55 м
3877 с,   249795.85 м
3878 с,   249780.16 м
3879 с,   249764.47 м
3880 с,   249748.78 м
3881 с,   249733.09 м
3882 с,   249717.41 м
3883 с,   249701.73 м
3884 с,   249686.05 м
3885 с,   249670.37 м
3886 с,   249654.70 м
3887 с,   249639.03 м
3888 с,   249623.37 м
3889 с,   249607.70 м
3890 с,   249592.05 м
3891 с,   249576.39 м
3892 с,   249560.74 м
3893 с,   249545.10 м
3894 с,   249529.46 м
3895 с,   249513.82 м
3896 с,   249498.19 м
3897 с,   249482.57 м
3898 с,   249466.94 м
3899 с,   249451.33 м
3900 с,   249435.72 м
3901 с,   249420.11 м
3902 с,   249404.51 м
3903 с,   249388.92 м
3904 с,   249373.33 м
3905 с,   249357.75 м
3906 с,   249342.18 м
3907 с,   249326.61 м
3908 с,   249311.05 м
3909 с,   249295.49 м
3910 с,   249279.95 м
3911 с,   249264.41 м
3912 с,   249248.87 м
3913 с,   249233.35 м
3914 с,   249217.83 м
3915 с,   249202.32 м
3916 с,   249186.81 м
3917 с,   249171.32 м
3918 с,   249155.83 м
3919 с,   249140.35 м
3920 с,   249124.88 м
3921 с,   249109.42 м
3922 с,   249093.97 м
3923 с,   249078.53 м
3924 с,   249063.09 м
3925 с,   249047.67 м
3926 с,   249032.25 м
3927 с,   249016.85 м
3928 с,   249001.45 м
3929 с,   248986.06 м
3930 с,   248970.69 м
3931 с,   248955.32 м
3932 с,   248939.96 м
3933 с,   248924.62 м
3934 с,   248909.28 м
3935 с,   248893.96 м
3936 с,   248878.65 м
3937 с,   248863.34 м
3938 с,   248848.05 м
3939 с,   248832.77 м
3940 с,   248817.51 м
3941 с,   248802.25 м
3942 с,   248787.00 м
3943 с,   248771.77 м
3944 с,   248756.55 м
3945 с,   248741.34 м
3946 с,   248726.15 м
3947 с,   248710.96 м
3948 с,   248695.79 м
3949 с,   248680.63 м
3950 с,   248665.49 м
3951 с,   248650.36 м
3952 с,   248635.24 м
3953 с,   248620.14 м
3954 с,   248605.04 м
3955 с,   248589.97 м
3956 с,   248574.90 м
3957 с,   248559.85 м
3958 с,   248544.82 м
3959 с,   248529.80 м
3960 с,   248514.79 м
3961 с,   248499.80 м
3962 с,   248484.82 м
3963 с,   248469.86 м
3964 с,   248454.92 м
3965 с,   248439.98 м
3966 с,   248425.07 м
3967 с,   248410.17 м
3968 с,   248395.28 м
3969 с,   248380.41 м
3970 с,   248365.56 м
3971 с,   248350.72 м
3972 с,   248335.90 м
3973 с,   248321.10 м
3974 с,   248306.31 м
3975 с,   248291.54 м
3976 с,   248276.79 м
3977 с,   248262.05 м
3978 с,   248247.33 м
3979 с,   248232.63 м
3980 с,   248217.94 м
3981 с,   248203.27 м
3982 с,   248188.62 м
3983 с,   248173.99 м
3984 с,   248159.38 м
3985 с,   248144.78 м
3986 с,   248130.20 м
3987 с,   248115.64 м
3988 с,   248101.10 м
3989 с,   248086.58 м
3990 с,   248072.08 м
3991 с,   248057.60 м
3992 с,   248043.13 м
3993 с,   248028.69 м
3994 с,   248014.26 м
3995 с,   247999.85 м
3996 с,   247985.47 м
3997 с,   247971.10 м
3998 с,   247956.75 м
3999 с,   247942.43 м
4000 с,   247928.12 м
4001 с,   247913.84 м
4002 с,   247899.57 м
4003 с,   247885.33 м
4004 с,   247871.10 м
4005 с,   247856.90 м
4006 с,   247842.72 м
4007 с,   247828.56 м
4008 с,   247814.42 м
4009 с,   247800.30 м
4010 с,   247786.21 м
4011 с,   247772.14 м
4012 с,   247758.08 м
4013 с,   247744.05 м
4014 с,   247730.05 м
4015 с,   247716.06 м
4016 с,   247702.10 м
4017 с,   247688.16 м
4018 с,   247674.24 м
4019 с,   247660.35 м
4020 с,   247646.48 м
4021 с,   247632.63 м
4022 с,   247618.81 м
4023 с,   247605.01 м
4024 с,   247591.23 м
4025 с,   247577.48 м
4026 с,   247563.75 м
4027 с,   247550.04 м
4028 с,   247536.36 м
4029 с,   247522.71 м
4030 с,   247509.07 м
4031 с,   247495.47 м
4032 с,   247481.88 м
4033 с,   247468.33 м
4034 с,   247454.79 м
4035 с,   247441.28 м
4036 с,   247427.80 м
4037 с,   247414.35 м
4038 с,   247400.91 м
4039 с,   247387.51 м
4040 с,   247374.13 м
4041 с,   247360.77 м
4042 с,   247347.44 м
4043 с,   247334.14 м
4044 с,   247320.87 м
4045 с,   247307.62 м
4046 с,   247294.39 м
4047 с,   247281.20 м
4048 с,   247268.03 м
4049 с,   247254.89 м
4050 с,   247241.77 м
4051 с,   247228.68 м
4052 с,   247215.62 м
4053 с,   247202.59 м
4054 с,   247189.58 м
4055 с,   247176.61 м
4056 с,   247163.66 м
4057 с,   247150.73 м
4058 с,   247137.84 м
4059 с,   247124.97 м
4060 с,   247112.14 м
4061 с,   247099.33 м
4062 с,   247086.55 м
4063 с,   247073.80 м
4064 с,   247061.07 м
4065 с,   247048.38 м
4066 с,   247035.72 м
4067 с,   247023.08 м
4068 с,   247010.48 м
4069 с,   246997.90 м
4070 с,   246985.35 м
4071 с,   246972.84 м
4072 с,   246960.35 м
4073 с,   246947.89 м
4074 с,   246935.46 м
4075 с,   246923.07 м
4076 с,   246910.70 м
4077 с,   246898.37 м
4078 с,   246886.06 м
4079 с,   246873.79 м
4080 с,   246861.54 м
4081 с,   246849.33 м
4082 с,   246837.15 м
4083 с,   246825.00 м
4084 с,   246812.88 м
4085 с,   246800.79 м
4086 с,   246788.74 м
4087 с,   246776.71 м
4088 с,   246764.72 м
4089 с,   246752.76 м
4090 с,   246740.83 м
4091 с,   246728.94 м
4092 с,   246717.07 м
4093 с,   246705.24 м
4094 с,   246693.44 м
4095 с,   246681.67 м
4096 с,   246669.94 м
4097 с,   246658.24 м
4098 с,   246646.57 м
4099 с,   246634.94 м
4100 с,   246623.34 м
4101 с,   246611.77 м
4102 с,   246600.23 м
4103 с,   246588.73 м
4104 с,   246577.26 м
4105 с,   246565.83 м
4106 с,   246554.43 м
4107 с,   246543.07 м
4108 с,   246531.73 м
4109 с,   246520.44 м
4110 с,   246509.17 м
4111 с,   246497.94 м
4112 с,   246486.75 м
4113 с,   246475.59 м
4114 с,   246464.47 м
4115 с,   246453.38 м
4116 с,   246442.32 м
4117 с,   246431.30 м
4118 с,   246420.32 м
4119 с,   246409.37 м
4120 с,   246398.45 м
4121 с,   246387.58 м
4122 с,   246376.73 м
4123 с,   246365.93 м
4124 с,   246355.16 м
4125 с,   246344.42 м
4126 с,   246333.72 м
4127 с,   246323.06 м
4128 с,   246312.43 м
4129 с,   246301.84 м
4130 с,   246291.29 м
4131 с,   246280.77 м
4132 с,   246270.29 м
4133 с,   246259.85 м
4134 с,   246249.44 м
4135 с,   246239.08 м
4136 с,   246228.74 м
4137 с,   246218.45 м
4138 с,   246208.19 м
4139 с,   246197.97 м
4140 с,   246187.79 м
4141 с,   246177.64 м
4142 с,   246167.53 м
4143 с,   246157.47 м
4144 с,   246147.43 м
4145 с,   246137.44 м
4146 с,   246127.48 м
4147 с,   246117.57 м
4148 с,   246107.69 м
4149 с,   246097.85 м
4150 с,   246088.05 м
4151 с,   246078.28 м
4152 с,   246068.56 м
4153 с,   246058.87 м
4154 с,   246049.22 м
4155 с,   246039.62 м
4156 с,   246030.05 м
4157 с,   246020.52 м
4158 с,   246011.03 м
4159 с,   246001.58 м
4160 с,   245992.17 м
4161 с,   245982.79 м
4162 с,   245973.46 м
4163 с,   245964.17 м
4164 с,   245954.92 м
4165 с,   245945.70 м
4166 с,   245936.53 м
4167 с,   245927.40 м
4168 с,   245918.30 м
4169 с,   245909.25 м
4170 с,   245900.24 м
4171 с,   245891.27 м
4172 с,   245882.34 м
4173 с,   245873.45 м
4174 с,   245864.60 м
4175 с,   245855.79 м
4176 с,   245847.02 м
4177 с,   245838.29 м
4178 с,   245829.61 м
4179 с,   245820.96 м
4180 с,   245812.36 м
4181 с,   245803.80 м
4182 с,   245795.28 м
4183 с,   245786.80 м
4184 с,   245778.36 м
4185 с,   245769.96 м
4186 с,   245761.61 м
4187 с,   245753.30 м
4188 с,   245745.03 м
4189 с,   245736.80 м
4190 с,   245728.61 м
4191 с,   245720.47 м
4192 с,   245712.37 м
4193 с,   245704.31 м
4194 с,   245696.29 м
4195 с,   245688.32 м
4196 с,   245680.38 м
4197 с,   245672.49 м
4198 с,   245664.65 м
4199 с,   245656.84 м
4200 с,   245649.08 м
4201 с,   245641.36 м
4202 с,   245633.69 м
4203 с,   245626.06 м
4204 с,   245618.47 м
4205 с,   245610.92 м
4206 с,   245603.42 м
4207 с,   245595.96 м
4208 с,   245588.54 м
4209 с,   245581.17 м
4210 с,   245573.84 м
4211 с,   245566.56 м
4212 с,   245559.32 м
4213 с,   245552.12 м
4214 с,   245544.97 м
4215 с,   245537.86 м
4216 с,   245530.79 м
4217 с,   245523.77 м
4218 с,   245516.79 м
4219 с,   245509.86 м
4220 с,   245502.97 м
4221 с,   245496.13 м
4222 с,   245489.33 м
4223 с,   245482.58 м
4224 с,   245475.86 м
4225 с,   245469.20 м
4226 с,   245462.58 м
4227 с,   245456.00 м
4228 с,   245449.47 м
4229 с,   245442.98 м
4230 с,   245436.54 м
4231 с,   245430.15 м
4232 с,   245423.79 м
4233 с,   245417.49 м
4234 с,   245411.23 м
4235 с,   245405.01 м
4236 с,   245398.84 м
4237 с,   245392.72 м
4238 с,   245386.64 м
4239 с,   245380.60 м
4240 с,   245374.61 м
4241 с,   245368.67 м
4242 с,   245362.77 м
4243 с,   245356.92 м
4244 с,   245351.12 м
4245 с,   245345.36 м
4246 с,   245339.64 м
4247 с,   245333.98 м
4248 с,   245328.36 м
4249 с,   245322.78 м
4250 с,   245317.25 м
4251 с,   245311.77 м
4252 с,   245306.33 м
4253 с,   245300.94 м
4254 с,   245295.60 м
4255 с,   245290.30 м
4256 с,   245285.05 м
4257 с,   245279.84 м
4258 с,   245274.68 м
4259 с,   245269.57 м
4260 с,   245264.51 м
4261 с,   245259.49 м
4262 с,   245254.52 м
4263 с,   245249.59 м
4264 с,   245244.72 м
4265 с,   245239.89 м
4266 с,   245235.10 м
4267 с,   245230.37 м
4268 с,   245225.68 м
4269 с,   245221.03 м
4270 с,   245216.44 м
4271 с,   245211.89 м
4272 с,   245207.39 м
4273 с,   245202.94 м
4274 с,   245198.53 м
4275 с,   245194.17 м
4276 с,   245189.86 м
4277 с,   245185.60 м
4278 с,   245181.38 м
4279 с,   245177.21 м
4280 с,   245173.09 м
4281 с,   245169.02 м
4282 с,   245164.99 м
4283 с,   245161.01 м
4284 с,   245157.08 м
4285 с,   245153.20 м
4286 с,   245149.37 м
4287 с,   245145.58 м
4288 с,   245141.84 м
4289 с,   245138.15 м
4290 с,   245134.51 м
4291 с,   245130.91 м
4292 с,   245127.37 м
4293 с,   245123.87 м
4294 с,   245120.42 м
4295 с,   245117.01 м
4296 с,   245113.66 м
4297 с,   245110.35 м
4298 с,   245107.10 м
4299 с,   245103.89 м
4300 с,   245100.72 м
4301 с,   245097.61 м
4302 с,   245094.55 м
4303 с,   245091.53 м
4304 с,   245088.56 м
4305 с,   245085.64 м
4306 с,   245082.77 м
4307 с,   245079.95 м
4308 с,   245077.18 м
4309 с,   245074.45 м
4310 с,   245071.78 м
4311 с,   245069.15 м
4312 с,   245066.57 м
4313 с,   245064.04 м
4314 с,   245061.56 м
4315 с,   245059.13 м
4316 с,   245056.74 м
4317 с,   245054.41 м
4318 с,   245052.12 м
4319 с,   245049.88 м
4320 с,   245047.69 м
4321 с,   245045.55 м
4322 с,   245043.46 м
4323 с,   245041.42 м
4324 с,   245039.43 м
4325 с,   245037.48 м
4326 с,   245035.59 м
4327 с,   245033.74 м
4328 с,   245031.94 м
4329 с,   245030.20 м
4330 с,   245028.50 м
4331 с,   245026.85 м
4332 с,   245025.24 м
4333 с,   245023.69 м
4334 с,   245022.19 м
4335 с,   245020.74 м
4336 с,   245019.33 м
4337 с,   245017.98 м
4338 с,   245016.67 м
4339 с,   245015.41 м
4340 с,   245014.21 м
4341 с,   245013.05 м
4342 с,   245011.94 м
4343 с,   245010.88 м
4344 с,   245009.87 м
4345 с,   245008.90 м
4346 с,   245007.99 м
4347 с,   245007.13 м
4348 с,   245006.32 м
4349 с,   245005.55 м
4350 с,   245004.84 м
4351 с,   245004.17 м
4352 с,   245003.55 м
4353 с,   245002.99 м
4354 с,   245002.47 м
4355 с,   245002.00 м
4356 с,   245001.58 м
4357 с,   245001.21 м
4358 с,   245000.89 м
4359 с,   245000.62 м
4360 с,   245000.39 м
4361 с,   245000.22 м
4362 с,   245000.10 м
4363 с,   245000.02 м
4364 с,   245000.00 м
4365 с,   245000.02 м
4366 с,   245000.10 м
4367 с,   245000.22 м
4368 с,   245000.39 м
4369 с,   245000.62 м
4370 с,   245000.89 м
4371 с,   245001.21 м
4372 с,   245001.58 м
4373 с,   245002.00 м
4374 с,   245002.47 м
4375 с,   245002.99 м
4376 с,   245003.55 м
4377 с,   245004.17 м
4378 с,   245004.84 м
4379 с,   245005.55 м
4380 с,   245006.32 м
4381 с,   245007.13 м
4382 с,   245007.99 м
4383 с,   245008.90 м
4384 с,   245009.87 м
4385 с,   245010.88 м
4386 с,   245011.94 м
4387 с,   245013.05 м
4388 с,   245014.21 м
4389 с,   245015.41 м
4390 с,   245016.67 м
4391 с,   245017.98 м
4392 с,   245019.33 м
4393 с,   245020.74 м
4394 с,   245022.19 м
4395 с,   245023.69 м
4396 с,   245025.24 м
4397 с,   245026.85 м
4398 с,   245028.50 м
4399 с,   245030.20 м
4400 с,   245031.94 м
4401 с,   245033.74 м
4402 с,   245035.59 м
4403 с,   245037.48 м
4404 с,   245039.43 м
4405 с,   245041.42 м
4406 с,   245043.46 м
4407 с,   245045.55 м
4408 с,   245047.69 м
4409 с,   245049.88 м
4410 с,   245052.12 м
4411 с,   245054.41 м
4412 с,   245056.74 м
4413 с,   245059.13 м
4414 с,   245061.56 м
4415 с,   245064.04 м
4416 с,   245066.57 м
4417 с,   245069.15 м
4418 с,   245071.78 м
4419 с,   245074.45 м
4420 с,   245077.18 м
4421 с,   245079.95 м
4422 с,   245082.77 м
4423 с,   245085.64 м
4424 с,   245088.56 м
4425 с,   245091.53 м
4426 с,   245094.55 м
4427 с,   245097.61 м
4428 с,   245100.72 м
4429 с,   245103.89 м
4430 с,   245107.10 м
4431 с,   245110.35 м
4432 с,   245113.66 м
4433 с,   245117.01 м
4434 с,   245120.42 м
4435 с,   245123.87 м
4436 с,   245127.37 м
4437 с,   245130.91 м
4438 с,   245134.51 м
4439 с,   245138.15 м
4440 с,   245141.84 м
4441 с,   245145.58 м
4442 с,   245149.37 м
4443 с,   245153.20 м
4444 с,   245157.08 м
4445 с,   245161.01 м
4446 с,   245164.99 м
4447 с,   245169.02 м
4448 с,   245173.09 м
4449 с,   245177.21 м
4450 с,   245181.38 м
4451 с,   245185.60 м
4452 с,   245189.86 м
4453 с,   245194.17 м
4454 с,   245198.53 м
4455 с,   245202.94 м
4456 с,   245207.39 м
4457 с,   245211.89 м
4458 с,   245216.44 м
4459 с,   245221.03 м
4460 с,   245225.68 м
4461 с,   245230.37 м
4462 с,   245235.10 м
4463 с,   245239.89 м
4464 с,   245244.72 м
4465 с,   245249.59 м
4466 с,   245254.52 м
4467 с,   245259.49 м
4468 с,   245264.51 м
4469 с,   245269.57 м
4470 с,   245274.68 м
4471 с,   245279.84 м
4472 с,   245285.05 м
4473 с,   245290.30 м
4474 с,   245295.60 м
4475 с,   245300.94 м
4476 с,   245306.33 м
4477 с,   245311.77 м
4478 с,   245317.25 м
4479 с,   245322.78 м
4480 с,   245328.36 м
4481 с,   245333.98 м
4482 с,   245339.64 м
4483 с,   245345.36 м
4484 с,   245351.12 м
4485 с,   245356.92 м
4486 с,   245362.77 м
4487 с,   245368.67 м
4488 с,   245374.61 м
4489 с,   245380.60 м
4490 с,   245386.64 м
4491 с,   245392.72 м
4492 с,   245398.84 м
4493 с,   245405.01 м
4494 с,   245411.23 м
4495 с,   245417.49 м
4496 с,   245423.79 м
4497 с,   245430.15 м
4498 с,   245436.54 м
4499 с,   245442.98 м
4500 с,   245449.47 м
4501 с,   245456.00 м
4502 с,   245462.58 м
4503 с,   245469.20 м
4504 с,   245475.86 м
4505 с,   245482.58 м
4506 с,   245489.33 м
4507 с,   245496.13 м
4508 с,   245502.97 м
4509 с,   245509.86 м
4510 с,   245516.79 м
4511 с,   245523.77 м
4512 с,   245530.79 м
4513 с,   245537.86 м
4514 с,   245544.97 м
4515 с,   245552.12 м
4516 с,   245559.32 м
4517 с,   245566.56 м
4518 с,   245573.84 м
4519 с,   245581.17 м
4520 с,   245588.54 м
4521 с,   245595.96 м
4522 с,   245603.42 м
4523 с,   245610.92 м
4524 с,   245618.47 м
4525 с,   245626.06 м
4526 с,   245633.69 м
4527 с,   245641.36 м
4528 с,   245649.08 м
4529 с,   245656.84 м
4530 с,   245664.65 м
4531 с,   245672.49 м
4532 с,   245680.38 м
4533 с,   245688.32 м
4534 с,   245696.29 м
4535 с,   245704.31 м
4536 с,   245712.37 м
4537 с,   245720.47 м
4538 с,   245728.61 м
4539 с,   245736.80 м
4540 с,   245745.03 м
4541 с,   245753.30 м
4542 с,   245761.61 м
4543 с,   245769.96 м
4544 с,   245778.36 м
4545 с,   245786.80 м
4546 с,   245795.28 м
4547 с,   245803.80 м
4548 с,   245812.36 м
4549 с,   245820.96 м
4550 с,   245829.61 м
4551 с,   245838.29 м
4552 с,   245847.02 м
4553 с,   245855.79 м
4554 с,   245864.60 м
4555 с,   245873.45 м
4556 с,   245882.34 м
4557 с,   245891.27 м
4558 с,   245900.24 м
4559 с,   245909.25 м
4560 с,   245918.30 м
4561 с,   245927.40 м
4562 с,   245936.53 м
4563 с,   245945.70 м
4564 с,   245954.92 м
4565 с,   245964.17 м
4566 с,   245973.46 м
4567 с,   245982.79 м
4568 с,   245992.17 м
4569 с,   246001.58 м
4570 с,   246011.03 м
4571 с,   246020.52 м
4572 с,   246030.05 м
4573 с,   246039.62 м
4574 с,   246049.22 м
4575 с,   246058.87 м
4576 с,   246068.56 м
4577 с,   246078.28 м
4578 с,   246088.05 м
4579 с,   246097.85 м
4580 с,   246107.69 м
4581 с,   246117.57 м
4582 с,   246127.48 м
4583 с,   246137.44 м
4584 с,   246147.43 м
4585 с,   246157.47 м
4586 с,   246167.53 м
4587 с,   246177.64 м
4588 с,   246187.79 м
4589 с,   246197.97 м
4590 с,   246208.19 м
4591 с,   246218.45 м
4592 с,   246228.74 м
4593 с,   246239.08 м
4594 с,   246249.44 м
4595 с,   246259.85 м
4596 с,   246270.29 м
4597 с,   246280.77 м
4598 с,   246291.29 м
4599 с,   246301.84 м
4600 с,   246312.43 м
4601 с,   246323.06 м
4602 с,   246333.72 м
4603 с,   246344.42 м
4604 с,   246355.16 м
4605 с,   246365.93 м
4606 с,   246376.73 м
4607 с,   246387.58 м
4608 с,   246398.45 м
4609 с,   246409.37 м
4610 с,   246420.32 м
4611 с,   246431.30 м
4612 с,   246442.32 м
4613 с,   246453.38 м
4614 с,   246464.47 м
4615 с,   246475.59 м
4616 с,   246486.75 м
4617 с,   246497.94 м
4618 с,   246509.17 м
4619 с,   246520.44 м
4620 с,   246531.73 м
4621 с,   246543.07 м
4622 с,   246554.43 м
4623 с,   246565.83 м
4624 с,   246577.26 м
4625 с,   246588.73 м
4626 с,   246600.23 м
4627 с,   246611.77 м
4628 с,   246623.34 м
4629 с,   246634.94 м
4630 с,   246646.57 м
4631 с,   246658.24 м
4632 с,   246669.94 м
4633 с,   246681.67 м
4634 с,   246693.44 м
4635 с,   246705.24 м
4636 с,   246717.07 м
4637 с,   246728.94 м
4638 с,   246740.83 м
4639 с,   246752.76 м
4640 с,   246764.72 м
4641 с,   246776.71 м
4642 с,   246788.74 м
4643 с,   246800.79 м
4644 с,   246812.88 м
4645 с,   246825.00 м
4646 с,   246837.15 м
4647 с,   246849.33 м
4648 с,   246861.54 м
4649 с,   246873.79 м
4650 с,   246886.06 м
4651 с,   246898.37 м
4652 с,   246910.70 м
4653 с,   246923.07 м
4654 с,   246935.46 м
4655 с,   246947.89 м
4656 с,   246960.35 м
4657 с,   246972.84 м
4658 с,   246985.35 м
4659 с,   246997.90 м
4660 с,   247010.48 м
4661 с,   247023.08 м
4662 с,   247035.72 м
